Concept,Attributes,Group
Poverty Status in the Past 12 Months by Sex by Age (Hispanic or Latino),"B17001I_001EA,  B17001I_001M,  B17001I_001MA",B17001I
Poverty Status in the Past 12 Months of Individuals by Sex by Educational Attainment,"B17003_001EA,  B17003_001M,  B17003_001MA",B17003
Poverty Status in the Past 12 Months of Individuals by Sex by Work Experience,"B17004_001EA,  B17004_001M,  B17004_001MA",B17004
Poverty Status in the Past 12 Months of Individuals by Sex by Employment Status,"B17005_001EA,  B17005_001M,  B17005_001MA",B17005
Poverty Status in the Past 12 Months of Related Children Under 18 Years by Family Type by Age of Related Children Under 18 Years,"B17006_001EA,  B17006_001M,  B17006_001MA",B17006
Poverty Status in the Past 12 Months of Unrelated Individuals 15 Years and Over by Sex by Age,"B17007_001EA,  B17007_001M,  B17007_001MA",B17007
Aggregate Income Deficit (Dollars) in the Past 12 Months of Unrelated Individuals by Sex,"B17008_001EA,  B17008_001M,  B17008_001MA",B17008
Poverty Status by Work Experience of Unrelated Individuals by Householder Status,"B17009_001EA,  B17009_001M,  B17009_001MA",B17009
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children,"B17010_001EA,  B17010_001M,  B17010_001MA",B17010
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (White Alone Householder),"B17010A_001EA,  B17010A_001M,  B17010A_001MA",B17010A
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (Black or African American Alone Householder),"B17010B_001EA,  B17010B_001M,  B17010B_001MA",B17010B
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (American Indian and Alaska Native Alone),"B17010C_001EA,  B17010C_001M,  B17010C_001MA",B17010C
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (Asian Alone Householder),"B17010D_001EA,  B17010D_001M,  B17010D_001MA",B17010D
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (Native Hawaiian and Other Pacific Islander Alone Householder),"B17010E_001EA,  B17010E_001M,  B17010E_001MA",B17010E
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (Some Other Race Alone Householder),"B17010F_001EA,  B17010F_001M,  B17010F_001MA",B17010F
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (Two or More Races Householder),"B17010G_001EA,  B17010G_001M,  B17010G_001MA",B17010G
"Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (White Alone, Not Hispanic or Latino Householder)","B17010H_001EA,  B17010H_001M,  B17010H_001MA",B17010H
Poverty Status in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children (Hispanic or Latino),"B17010I_001EA,  B17010I_001M,  B17010I_001MA",B17010I
Aggregate Income Deficit (Dollars) in the Past 12 Months for Families by Family Type,"B17011_001EA,  B17011_001M,  B17011_001MA",B17011
Poverty Status in the Past 12 Months of Families by Household Type by Number of Related Children Under 18 Years,"B17012_001EA,  B17012_001M,  B17012_001MA",B17012
Poverty Status in the Past 12 Months of Families by Household Type by Number of Persons in Family,"B17013_001EA,  B17013_001M,  B17013_001MA",B17013
Poverty Status in the Past 12 Months of Families by Household Type by Number of Workers in Family,"B17014_001EA,  B17014_001M,  B17014_001MA",B17014
Poverty Status in the Past 12 Months of Families by Family Type by Social Security Income by Supplemental Security Income (SSI) and Cash Public Assistance Income,"B17015_001EA,  B17015_001M,  B17015_001MA",B17015
Poverty Status in the Past 12 Months of Families by Family Type by Work Experience of Householder and Spouse,"B17016_001EA,  B17016_001M,  B17016_001MA",B17016
Poverty Status in the Past 12 Months by Household Type by Age of Householder,"B17017_001EA,  B17017_001M,  B17017_001MA",B17017
Poverty Status in the Past 12 Months of Families by Household Type by Educational Attainment of Householder,"B17018_001EA,  B17018_001M,  B17018_001MA",B17018
Poverty Status in the Past 12 Months of Families by Household Type by Tenure,"B17019_001EA,  B17019_001M,  B17019_001MA",B17019
Poverty Status in the Past 12 Months by Age,"B17020_001EA,  B17020_001M,  B17020_001MA",B17020
Poverty Status in the Past 12 Months by Age (White Alone),"B17020A_001EA,  B17020A_001M,  B17020A_001MA",B17020A
Poverty Status in the Past 12 Months by Age (Black or African American Alone),"B17020B_001EA,  B17020B_001M,  B17020B_001MA",B17020B
Poverty Status in the Past 12 Months by Age (American Indian and Alaska Native Alone),"B17020C_001EA,  B17020C_001M,  B17020C_001MA",B17020C
Poverty Status in the Past 12 Months by Age (Asian Alone),"B17020D_001EA,  B17020D_001M,  B17020D_001MA",B17020D
Poverty Status in the Past 12 Months by Age (Native Hawaiian and Other Pacific Islander Alone),"B17020E_001EA,  B17020E_001M,  B17020E_001MA",B17020E
Poverty Status in the Past 12 Months by Age (Some Other Race Alone),"B17020F_001EA,  B17020F_001M,  B17020F_001MA",B17020F
Poverty Status in the Past 12 Months by Age (Two or More Races),"B17020G_001EA,  B17020G_001M,  B17020G_001MA",B17020G
"Poverty Status in the Past 12 Months by Age (White Alone, Not Hispanic or Latino)","B17020H_001EA,  B17020H_001M,  B17020H_001MA",B17020H
Poverty Status in the Past 12 Months by Age (Hispanic or Latino),"B17020I_001EA,  B17020I_001M,  B17020I_001MA",B17020I
Poverty Status of Individuals in the Past 12 Months by Living Arrangement,"B17021_001EA,  B17021_001M,  B17021_001MA",B17021
Ratio of Income to Poverty Level in the Past 12 Months of Families by Family Type by Presence of Related Children Under 18 Years by Age of Related Children,"B17022_001EA,  B17022_001M,  B17022_001MA",B17022
Poverty Status in the Past 12 Months of Families by Household Type by Number of Own Children Under 18 Years,"B17023_001EA,  B17023_001M,  B17023_001MA",B17023
Age by Ratio of Income to Poverty Level in the Past 12 Months,"B17024_001EA,  B17024_001M,  B17024_001MA",B17024
Poverty Status in the Past 12 Months by Nativity,"B17025_001EA,  B17025_001M,  B17025_001MA",B17025
Ratio of Income to Poverty Level of Families in the Past 12 Months,"B17026_001EA,  B17026_001M,  B17026_001MA",B17026
Poverty Status in the Past 12 Months of People in Housing Units,"B17101_001EA,  B17101_001M,  B17101_001MA",B17101
Sex by Age by Disability Status,"B18101_001EA,  B18101_001M,  B18101_001MA",B18101
Age by Disability Status (White Alone),"B18101A_001EA,  B18101A_001M,  B18101A_001MA",B18101A
Age by Disability Status (Black or African American Alone),"B18101B_001EA,  B18101B_001M,  B18101B_001MA",B18101B
Age by Disability Status (American Indian and Alaska Native Alone),"B18101C_001EA,  B18101C_001M,  B18101C_001MA",B18101C
Age by Disability Status (Asian Alone),"B18101D_001EA,  B18101D_001M,  B18101D_001MA",B18101D
Age by Disability Status (Native Hawaiian and Other Pacific Islander Alone),"B18101E_001EA,  B18101E_001M,  B18101E_001MA",B18101E
Age by Disability Status (Some Other Race Alone),"B18101F_001EA,  B18101F_001M,  B18101F_001MA",B18101F
Age by Disability Status (Two or More Races),"B18101G_001EA,  B18101G_001M,  B18101G_001MA",B18101G
"Age by Disability Status (White Alone, Not Hispanic or Latino)","B18101H_001EA,  B18101H_001M,  B18101H_001MA",B18101H
Age by Disability Status (Hispanic or Latino),"B18101I_001EA,  B18101I_001M,  B18101I_001MA",B18101I
Sex by Age by Hearing Difficulty,"B18102_001EA,  B18102_001M,  B18102_001MA",B18102
Sex by Age by Vision Difficulty,"B18103_001EA,  B18103_001M,  B18103_001MA",B18103
Sex by Age by Cognitive Difficulty,"B18104_001EA,  B18104_001M,  B18104_001MA",B18104
Sex by Age by Ambulatory Difficulty,"B18105_001EA,  B18105_001M,  B18105_001MA",B18105
Sex by Age by Self-Care Difficulty,"B18106_001EA,  B18106_001M,  B18106_001MA",B18106
Sex by Age by Independent Living Difficulty,"B18107_001EA,  B18107_001M,  B18107_001MA",B18107
Age by Disability Status by Health Insurance Coverage Status,"B18135_001EA,  B18135_001M,  B18135_001MA",B18135
Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Disability Status by Sex for the Civilian Noninstitutionalized Population 16 Years and Over With Earnings,"B18140_001EA,  B18140_001M,  B18140_001MA",B18140
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19001_001EA,  B19001_001M,  B19001_001MA",B19001
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone Householder),"B19001A_001EA,  B19001A_001M,  B19001A_001MA",B19001A
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Black or African American Alone Householder),"B19001B_001EA,  B19001B_001M,  B19001B_001MA",B19001B
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (American Indian and Alaska Native Alone Householder),"B19001C_001EA,  B19001C_001M,  B19001C_001MA",B19001C
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Asian Alone Householder),"B19001D_001EA,  B19001D_001M,  B19001D_001MA",B19001D
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone Householder),"B19001E_001EA,  B19001E_001M,  B19001E_001MA",B19001E
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Some Other Race Alone Householder),"B19001F_001EA,  B19001F_001M,  B19001F_001MA",B19001F
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Two or More Races Householder),"B19001G_001EA,  B19001G_001M,  B19001G_001MA",B19001G
"Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone, Not Hispanic or Latino Householder)","B19001H_001EA,  B19001H_001M,  B19001H_001MA",B19001H
Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Hispanic or Latino Householder),"B19001I_001EA,  B19001I_001M,  B19001I_001MA",B19001I
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19013_001EA,  B19013_001M,  B19013_001MA",B19013
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone Householder),"B19013A_001EA,  B19013A_001M,  B19013A_001MA",B19013A
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Black or African American Alone Householder),"B19013B_001EA,  B19013B_001M,  B19013B_001MA",B19013B
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (American Indian and Alaska Native Alone Householder),"B19013C_001EA,  B19013C_001M,  B19013C_001MA",B19013C
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Asian Alone Householder),"B19013D_001EA,  B19013D_001M,  B19013D_001MA",B19013D
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone Householder),"B19013E_001EA,  B19013E_001M,  B19013E_001MA",B19013E
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Some Other Race Alone Householder),"B19013F_001EA,  B19013F_001M,  B19013F_001MA",B19013F
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Two or More Races Householder),"B19013G_001EA,  B19013G_001M,  B19013G_001MA",B19013G
"Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone, Not Hispanic or Latino Householder)","B19013H_001EA,  B19013H_001M,  B19013H_001MA",B19013H
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Hispanic or Latino Householder),"B19013I_001EA,  B19013I_001M,  B19013I_001MA",B19013I
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Household Size,"B19019_001EA,  B19019_001M,  B19019_001MA",B19019
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19025_001EA,  B19025_001M,  B19025_001MA",B19025
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone Householder),"B19025A_001EA,  B19025A_001M,  B19025A_001MA",B19025A
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Black or African American Alone Householder),"B19025B_001EA,  B19025B_001M,  B19025B_001MA",B19025B
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (American Indian and Alaska Native Alone Householder),"B19025C_001EA,  B19025C_001M,  B19025C_001MA",B19025C
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Asian Alone Householder),"B19025D_001EA,  B19025D_001M,  B19025D_001MA",B19025D
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone Householder),"B19025E_001EA,  B19025E_001M,  B19025E_001MA",B19025E
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Some Other Race Alone Householder),"B19025F_001EA,  B19025F_001M,  B19025F_001MA",B19025F
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Two or More Races Householder),"B19025G_001EA,  B19025G_001M,  B19025G_001MA",B19025G
"Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone, Not Hispanic or Latino Householder)","B19025H_001EA,  B19025H_001M,  B19025H_001MA",B19025H
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Hispanic or Latino Householder),"B19025I_001EA,  B19025I_001M,  B19025I_001MA",B19025I
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19037_001EA,  B19037_001M,  B19037_001MA",B19037
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone Householder),"B19037A_001EA,  B19037A_001M,  B19037A_001MA",B19037A
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Black or African American Alone Householder),"B19037B_001EA,  B19037B_001M,  B19037B_001MA",B19037B
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (American Indian and Alaska Native Alone Householder),"B19037C_001EA,  B19037C_001M,  B19037C_001MA",B19037C
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Asian Alone Householder),"B19037D_001EA,  B19037D_001M,  B19037D_001MA",B19037D
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone Householder),"B19037E_001EA,  B19037E_001M,  B19037E_001MA",B19037E
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Some Other Race Alone Householder),"B19037F_001EA,  B19037F_001M,  B19037F_001MA",B19037F
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Two or More Races Householder),"B19037G_001EA,  B19037G_001M,  B19037G_001MA",B19037G
"Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone, Not Hispanic or Latino Householder)","B19037H_001EA,  B19037H_001M,  B19037H_001MA",B19037H
Age of Householder by Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Hispanic or Latino Householder),"B19037I_001EA,  B19037I_001M,  B19037I_001MA",B19037I
Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Age of Householder,"B19049_001EA,  B19049_001M,  B19049_001MA",B19049
Aggregate Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Age of Householder,"B19050_001EA,  B19050_001M,  B19050_001MA",B19050
Earnings in the Past 12 Months for Households,"B19051_001EA,  B19051_001M,  B19051_001MA",B19051
Wage or Salary Income in the Past 12 Months for Households,"B19052_001EA,  B19052_001M,  B19052_001MA",B19052
Self-Employment Income in the Past 12 Months for Households,"B19053_001EA,  B19053_001M,  B19053_001MA",B19053
"Interest, Dividends, or Net Rental Income in the Past 12 Months for Households","B19054_001EA,  B19054_001M,  B19054_001MA",B19054
Social Security Income in the Past 12 Months for Households,"B19055_001EA,  B19055_001M,  B19055_001MA",B19055
Supplemental Security Income (SSI) in the Past 12 Months for Households,"B19056_001EA,  B19056_001M,  B19056_001MA",B19056
Public Assistance Income in the Past 12 Months for Households,"B19057_001EA,  B19057_001M,  B19057_001MA",B19057
Public Assistance Income or Food Stamps/SNAP in the Past 12 Months for Households,"B19058_001EA,  B19058_001M,  B19058_001MA",B19058
Retirement Income in the Past 12 Months for Households,"B19059_001EA,  B19059_001M,  B19059_001MA",B19059
Other Types of Income in the Past 12 Months for Households,"B19060_001EA,  B19060_001M,  B19060_001MA",B19060
Aggregate Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households,"B19061_001EA,  B19061_001M,  B19061_001MA",B19061
Aggregate Wage or Salary Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households,"B19062_001EA,  B19062_001M,  B19062_001MA",B19062
Aggregate Self-Employment Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households,"B19063_001EA,  B19063_001M,  B19063_001MA",B19063
"Aggregate Interest, Dividends, or Net Rental Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households","B19064_001EA,  B19064_001M,  B19064_001MA",B19064
Aggregate Social Security Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households,"B19065_001EA,  B19065_001M,  B19065_001MA",B19065
Aggregate Supplemental Security Income (SSI) in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households,"B19066_001EA,  B19066_001M,  B19066_001MA",B19066
Aggregate Public Assistance Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households,"B19067_001EA,  B19067_001M,  B19067_001MA",B19067
Aggregate Retirement Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households,"B19069_001EA,  B19069_001M,  B19069_001MA",B19069
Aggregate Other Types of Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Households,"B19070_001EA,  B19070_001M,  B19070_001MA",B19070
Household Income Quintile Upper Limits,"B19080_001EA,  B19080_001M,  B19080_001MA",B19080
Mean Household Income of Quintiles,"B19081_001EA,  B19081_001M,  B19081_001MA",B19081
Shares of Aggregate Household Income by Quintile,"B19082_001EA,  B19082_001M,  B19082_001MA",B19082
Gini Index of Income Inequality,"B19083_001EA,  B19083_001M,  B19083_001MA",B19083
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19101_001EA,  B19101_001M,  B19101_001MA",B19101
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone Householder),"B19101A_001EA,  B19101A_001M,  B19101A_001MA",B19101A
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Black or African American Alone Householder),"B19101B_001EA,  B19101B_001M,  B19101B_001MA",B19101B
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (American Indian and Alaska Native Alone Householder),"B19101C_001EA,  B19101C_001M,  B19101C_001MA",B19101C
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Asian Alone Householder),"B19101D_001EA,  B19101D_001M,  B19101D_001MA",B19101D
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone Householder),"B19101E_001EA,  B19101E_001M,  B19101E_001MA",B19101E
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Some Other Race Alone Householder),"B19101F_001EA,  B19101F_001M,  B19101F_001MA",B19101F
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Two or More Races Householder),"B19101G_001EA,  B19101G_001M,  B19101G_001MA",B19101G
"Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone, Not Hispanic or Latino Householder)","B19101H_001EA,  B19101H_001M,  B19101H_001MA",B19101H
Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Hispanic or Latino Householder),"B19101I_001EA,  B19101I_001M,  B19101I_001MA",B19101I
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19113_001EA,  B19113_001M,  B19113_001MA",B19113
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone Householder),"B19113A_001EA,  B19113A_001M,  B19113A_001MA",B19113A
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Black or African American Alone Householder),"B19113B_001EA,  B19113B_001M,  B19113B_001MA",B19113B
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (American Indian and Alaska Native Alone Householder),"B19113C_001EA,  B19113C_001M,  B19113C_001MA",B19113C
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Asian Alone Householder),"B19113D_001EA,  B19113D_001M,  B19113D_001MA",B19113D
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone Householder),"B19113E_001EA,  B19113E_001M,  B19113E_001MA",B19113E
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Some Other Race Alone Householder),"B19113F_001EA,  B19113F_001M,  B19113F_001MA",B19113F
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Two or More Races),"B19113G_001EA,  B19113G_001M,  B19113G_001MA",B19113G
"Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone, Not Hispanic or Latino Householder)","B19113H_001EA,  B19113H_001M,  B19113H_001MA",B19113H
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Hispanic or Latino Householder),"B19113I_001EA,  B19113I_001M,  B19113I_001MA",B19113I
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Family Size,"B19119_001EA,  B19119_001M,  B19119_001MA",B19119
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Number of Earners in Family,"B19121_001EA,  B19121_001M,  B19121_001MA",B19121
Number of Earners in Family,"B19122_001EA,  B19122_001M,  B19122_001MA",B19122
Family Size by Cash Public Assistance Income or Households Receiving Food Stamps/SNAP Benefits in the Past 12 Months,"B19123_001EA,  B19123_001M,  B19123_001MA",B19123
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Presence of Own Children Under 18 Years,"B19125_001EA,  B19125_001M,  B19125_001MA",B19125
Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Family Type by Presence of Own Children Under 18 Years,"B19126_001EA,  B19126_001M,  B19126_001MA",B19126
Aggregate Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19127_001EA,  B19127_001M,  B19127_001MA",B19127
Aggregate Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Family Type by Presence of Own Children Under 18 Years,"B19128_001EA,  B19128_001M,  B19128_001MA",B19128
Aggregate Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Number of Workers in Family,"B19129_001EA,  B19129_001M,  B19129_001MA",B19129
Aggregate Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Family Type by Age of Householder,"B19130_001EA,  B19130_001M,  B19130_001MA",B19130
Family Type by Presence of Own Children Under 18 Years by Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19131_001EA,  B19131_001M,  B19131_001MA",B19131
Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19201_001EA,  B19201_001M,  B19201_001MA",B19201
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19202_001EA,  B19202_001M,  B19202_001MA",B19202
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone Householder),"B19202A_001EA,  B19202A_001M,  B19202A_001MA",B19202A
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Black or African American Alone Householder),"B19202B_001EA,  B19202B_001M,  B19202B_001MA",B19202B
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (American Indian and Alaska Native Alone Householder),"B19202C_001EA,  B19202C_001M,  B19202C_001MA",B19202C
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Asian Alone Householder),"B19202D_001EA,  B19202D_001M,  B19202D_001MA",B19202D
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone Householder),"B19202E_001EA,  B19202E_001M,  B19202E_001MA",B19202E
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Some Other Race Alone Householder),"B19202F_001EA,  B19202F_001M,  B19202F_001MA",B19202F
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Two or More Races Householder),"B19202G_001EA,  B19202G_001M,  B19202G_001MA",B19202G
"Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone, Not Hispanic or Latino Householder)","B19202H_001EA,  B19202H_001M,  B19202H_001MA",B19202H
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Hispanic or Latino Householder),"B19202I_001EA,  B19202I_001M,  B19202I_001MA",B19202I
Aggregate Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19214_001EA,  B19214_001M,  B19214_001MA",B19214
Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex of Householder by Living Alone by Age of Householder,"B19215_001EA,  B19215_001M,  B19215_001MA",B19215
Aggregate Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex of Householder by Living Alone by Age of Householder,"B19216_001EA,  B19216_001M,  B19216_001MA",B19216
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19301_001EA,  B19301_001M,  B19301_001MA",B19301
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone),"B19301A_001EA,  B19301A_001M,  B19301A_001MA",B19301A
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Black or African American Alone),"B19301B_001EA,  B19301B_001M,  B19301B_001MA",B19301B
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (American Indian and Alaska Native Alone),"B19301C_001EA,  B19301C_001M,  B19301C_001MA",B19301C
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Asian Alone),"B19301D_001EA,  B19301D_001M,  B19301D_001MA",B19301D
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Native Hawaiian and Other Pacific Islander Alone),"B19301E_001EA,  B19301E_001M,  B19301E_001MA",B19301E
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Some Other Race Alone),"B19301F_001EA,  B19301F_001M,  B19301F_001MA",B19301F
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Two or More Races),"B19301G_001EA,  B19301G_001M,  B19301G_001MA",B19301G
"Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (White Alone, Not Hispanic or Latino)","B19301H_001EA,  B19301H_001M,  B19301H_001MA",B19301H
Per Capita Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) (Hispanic or Latino),"B19301I_001EA,  B19301I_001M,  B19301I_001MA",B19301I
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars),"B19313_001EA,  B19313_001M,  B19313_001MA",B19313
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (White Alone),"B19313A_001EA,  B19313A_001M,  B19313A_001MA",B19313A
Aggregate Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for the Population 15 Years and Over (Black or African American Alone),"B19313B_001EA,  B19313B_001M,  B19313B_001MA",B19313B
